Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_low,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_low,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_low,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_low,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_low,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,6927.126352842756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663543555900714E-4,-7.33676027696905E-5,-1.9995866417155927E-4,0.0,-2.3625651354029903E-4,-8.100836144329964E-5,-2.1687121327075258E-4,-7.511900479019958E-5,0.0,-9.667080651021424E-5,-3.31994696907866E-4,-2.701486769310651E-5,-1.3572539858529916E-4,-6.488831653499967E-5,-1.3026002851750473E-4,3.438937138928488E-5,-1.8889981096603385E-4,-6.836649329564536E-5,-1.1529965181288211E-5,-6.552232909322133E-5,-2.727203707996058E-5,1.0835390406581758E-5,-2.4999664300177142E-5,-1.7264894887048964E-5,-5.059770861032756E-5,1.870823403993702E-5,-2.659257189290635E-5,-1.0105620638865165E-5,-3.345584250677176E-6,-3.3463844009479103E-6,2.990710048454858E-4,7.111563719558101E-5,7.942213097699805E-5,4.520047231929322E-5,1.5427384770250736E-4,1.292115380703966E-4,3.901273239465554E-5,1.322394271951591E-5,2.921404689467994E-5,2.11170435170607E-5,0.002066344851862982,-0.016936543675189226,-0.09957990781585173,-0.09522750073862778,-6.867371940664312E-8,-2.3616815198971283E-5,-1.9644779820837187E-5,3.127264872824656E-5,-2.6000393817677143E-4,-1.3897502745341223E-5
2,6397.775480939481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009420257218910396,-0.0012258334961857784,-0.00331877391334221,0.0,-0.003945723037400512,-0.0012871700935182257,-0.0036097201106672187,-0.0012531339444054373,0.0,-0.0016366328850677884,-0.0011707727466848355,9.227276182880402E-5,-6.922948516134783E-4,-3.7825037642636524E-4,-3.2129897304789066E-4,8.600376941600549E-4,-0.0013185877772443403,-4.909927170755768E-4,-5.291247128887996E-5,-2.75086423867863E-4,-5.559200389484661E-4,1.1827123042281614E-4,-4.023559399644931E-4,-2.669241285614104E-4,-7.880712058163457E-4,2.2443110134011946E-4,-4.2308526605508066E-4,-1.5938308892306339E-4,-5.397361206802033E-5,-7.026224399709545E-5,0.004080818052887089,9.729944748587597E-4,0.0010814467661344287,6.166277329081627E-4,0.0021039664752112086,0.0017715119875843142,5.268148869303691E-4,1.7809250352342904E-4,4.003241482912147E-4,2.8655421861844855E-4,-0.016266171025062153,-0.020528435524787652,-0.09654558541656938,-0.035054954061888445,1.7946858767698788E-6,-2.0473306387532668E-4,-1.0283578278882637E-4,5.091447326686342E-4,-0.0034067208607398217,-1.82072464119396E-4
3,6171.528394669357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10115589459572043,-0.01276468883102459,-0.03592964421293347,0.0,-0.041603794767558266,-0.01336582641520253,-0.039287452208553425,-0.013671486495750694,0.0,-0.017853656784403756,-0.008147372655116555,0.002087959009035327,-0.006359311353741559,-0.00352665103863291,-9.721744755934664E-4,0.011080666653291767,-0.013721531370511209,-0.005072187249124496,-3.4987522906422997E-4,-0.0025528598289353437,-0.00791843867553499,0.001176409331323509,-0.005187215026540802,-0.0033239538130860414,-0.009768012143208462,0.002537013836567163,-0.005557476773814446,-0.0020505113893286883,-6.412672398804E-4,-0.0011260613859598915,0.028879626065589872,0.007837985410745237,0.006935091010092794,0.0042494691835520985,0.014898865229182275,0.01666360928254974,6.999442682682145E-4,1.1037653444671246E-4,0.0037866446661895163,0.00107528895053037,-0.09682179703650096,-0.03844706309680581,-0.10521401822917552,-0.052374562077771164,7.025944273529441E-5,-1.0431609157529055E-4,0.0021307470676263213,0.007133063645122851,0.003275143687966783,1.4019905547043893E-4
4,5771.961408087628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6198763473188555,-0.07763391848222599,-0.22010953760368396,0.0,-0.25301400587151307,-0.08143896102651979,-0.24104152168898146,-0.08418255041569325,0.0,-0.10935494428319567,-0.04762466284305514,0.014151098893094476,-0.03915229502946695,-0.0216005050398123,-0.004042209938087764,0.07101802280746838,-0.0859783379054834,-0.031554248628101494,-0.0019083857123408335,-0.016107675143607888,-0.06390111275182327,0.005115030968806956,-0.03730883880716789,-0.023126151904648114,-0.06837548612733496,0.013846024967200853,-0.03987042361579472,-0.014536293891187964,-0.004539845001718306,-0.00926794991548657,0.172405471348552,0.04762267118495582,0.04071415012781396,0.025281689860409216,0.08871259802375595,0.10296147378266707,0.0016135588845193644,-3.5781309453656565E-4,0.02340006322891332,0.005629411687616911,-0.40926608211453963,-0.11211659078923264,-0.38534255062054684,-0.1087997442740788,7.513738698003167E-4,0.01274802173862735,0.032721309460492475,0.05410304017424852,0.04319686721022164,0.0020676617903871396
5,5328.961981874566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.152096396132089,-0.2604366077112694,-0.7501061522255137,0.0,-0.8273732192352381,-0.27766426889290635,-0.8311989004309641,-0.2991684990058539,0.0,-0.3707872816240355,-0.20873329992606302,0.06560791830847507,-0.17113838822064395,-0.08891327229114057,-0.016135672308042207,0.3002830836591096,-0.37200698822822653,-0.13027941375305413,-0.004274619990486666,-0.08129735465038312,-0.20806204435426795,0.03249987605437741,-0.13854809813781513,-0.08706400598118469,-0.2550770730767542,0.0672346337442695,-0.14671174770686551,-0.05411872558971691,-0.017002762359582417,-0.030124738197862686,0.6582933707005767,0.1872534737982704,0.14826160046049908,0.0964225631840254,0.32744750518477117,0.4086887527136776,-0.006133197640156934,-0.008019198615369018,0.09226726326792832,0.01764440996038836,0.04798814212847258,-0.026208792268039835,-0.23321897702308544,-0.0787700060621856,-0.0021110848850705707,-0.25006743299073014,-0.23025243129815617,0.20693602157669633,0.1394137420678337,0.006396293895309255
6,4988.877063150966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.196380376915123,-0.23321704758079612,-0.7620046590093212,0.0,-0.7390737199522255,-0.2737921035410512,-0.8626907720644807,-0.32353061374881975,0.0,-0.37179173550577915,-0.30896972660781563,0.0988245014136982,-0.25107928629821596,-0.13425955372714365,-0.012377377266556782,0.46070897483102646,-0.5583515227115945,-0.20328512492586673,-0.006030896380311385,-0.11962040822850384,-0.26123254879386143,0.06315609692705723,-0.19568568460662317,-0.12597638242270193,-0.3527438859116524,0.12349913871735796,-0.21369138376708546,-0.07830261281001384,-0.02208085143353215,-0.040046865146147415,0.907603561320323,0.26813860897775305,0.18764797929338162,0.13181409784676848,0.42330173791723646,0.5905151523316012,-0.03151518840508573,-0.022622939723972328,0.13050281788278817,0.017852441049079175,0.001874515215791711,-0.03338284259982977,-0.29811101344276647,-0.08842861010163441,-0.00579176867520172,-0.5421587968916733,-0.5389446933732713,0.3006916622806016,0.2540199211046247,0.01207894494814419
7,4476.660553554821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0441875907468137,0.24774471341617418,-0.7322510713426452,0.0,0.6539819899071446,-0.12785075159408493,-1.0706427196523547,-0.554464714516051,0.0,-0.28534917713088487,-1.1188903442830003,0.5751210547306802,-1.0379865618003392,-0.6417447013904698,0.318895020597348,2.6188894194132772,-2.712607133932381,-1.1499648284066157,-0.0037838781003737745,-0.4771524919723836,-1.4634505992425721,0.3482222163434656,-0.9476048752577902,-0.744183621686046,-0.9980870682449562,0.8813343779862417,-1.2966520532158095,-0.4635287409313419,-0.08665959558632125,-0.2331995481097563,3.4132175397609625,1.175679630036932,0.39047827149374914,0.46369211395754795,0.9793410618570153,2.619006310760848,-0.48751735889075887,-0.2888343779893925,0.5222675079117634,-0.04174883256510807,0.02204042360034214,0.004302073476268813,-9.534005746387186E-4,-0.12103238953147405,0.02550926830420318,-1.0908085282825415,0.8832339292539655,1.3550675180116278,1.0418571640708687,0.0526909041168607
8,4178.742929287025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3274649364005997,0.521709285982217,-0.7684820583564521,0.0,1.2269228949011544,0.08635344334645192,-1.3140415016083018,-0.813956068073155,0.0,-0.2668356246448634,-1.3239882136118528,0.6926004083389329,-1.0241122444029318,-0.8008797630538571,0.8429527207271515,3.173372149847719,-3.2468008776829347,-1.6271851017551855,-0.020763836368777447,-0.3773075854806135,-1.1370542341795344,0.7964695657075773,-1.057695428436077,-0.996270337655714,-0.776315043603711,1.8443922977076856,-1.6766872258273813,-0.6789442872205838,-0.06115720230631003,-0.21937886560061057,3.4450054817519313,1.3763871040420395,-0.045206559203089525,0.42423183502655704,0.15147145851351107,3.263971798287678,-0.9862758132114535,-0.6133274926948599,0.5992001750005791,-0.1904067708144197,-0.01521725280339601,-0.0016904002320194868,-0.05738405955168588,-0.14166099072821917,0.0351226661682908,-1.7650151746934122,1.2523402064639324,1.6274407163005267,0.5252230846029092,0.03531571465139081
9,4104.654727297131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.416419775504506,0.7694966312589528,-0.7612737393820231,0.0,1.358868414526777,0.49608047323962134,-1.4850243714154083,-1.0893324065525625,0.0,-0.24491534656809277,-1.526798357482552,0.7522678996911857,-0.9434627731351075,-0.8316297344253465,0.6023774521041259,3.040184668280348,-3.0552333648367376,-1.9026950017425066,-0.11280484279628764,-0.038801834471007435,-0.9520195183258219,1.0600074716583392,-1.128557474542759,-1.1862058389609007,-0.8160773109318739,2.7012568875104006,-1.9447028248294245,-0.9199016806352138,-0.028062553960892765,-0.2119710961095481,3.3666175371443683,1.3944200804182085,-0.18843517362717224,0.31620278780702,0.005691513585993263,3.518200134969492,-1.1500887823062325,-0.8580000136591595,0.6274243677526153,-0.23116437368108095,-0.011078730473462094,0.0018587617446507968,-0.037240320370562546,-0.11371763257228662,0.04867442018614334,-1.9602072664143395,1.4521948750925686,2.1299143390954414,0.8842637814983902,0.07139165851377505
